	true	false	gap	ext	matrix	t_min	f_min
109	0.7	0.5	10	1	MATIO	2.4893899434085185	2.2067566949111956
110	0.7	0.5	11	1	MATIO	2.47760585121212	2.2012732791402585
111	0.7	0.5	12	1	MATIO	2.468403697449808	2.197732610303954
112	0.7	0.5	13	1	MATIO	2.4621336238000593	2.1962720486863576
113	0.7	0.5	14	1	MATIO	2.4582092506515654	2.1958239831731383
114	0.7	0.5	15	1	MATIO	2.45592670026584	2.196256093035679
115	0.7	0.5	16	1	MATIO	2.4556545464642396	2.1973902160348024
116	0.7	0.5	17	1	MATIO	2.4562408691233633	2.1991236613142666
117	0.7	0.5	18	1	MATIO	2.4571594569199475	2.2011704237850154
118	0.7	0.5	19	1	MATIO	2.458907358830105	2.2034367162513844
119	0.7	0.5	20	1	MATIO	2.4609795850800023	2.2059982807962553
120	0.7	0.52	1	2	MATIO	3.7129524378888474	3.959703791868745
121	0.7	0.52	2	2	MATIO	3.4141281517952122	3.7411478167057455
122	0.7	0.52	3	2	MATIO	3.1598863216305055	3.5525005898096484
123	0.7	0.54	4	2	MATIO	2.9379826076134954	3.8515738920705536
124	0.7	0.56	5	2	MATIO	2.858160695107707	4.107231752354454
125	0.7	0.58	6	2	MATIO	2.791609711248027	4.132297893351358
126	0.7	0.56	7	2	MATIO	2.7417751447776038	4.008741304755065
127	0.7	0.56	8	2	MATIO	2.7025082410567096	3.9768940502129624
128	0.7	0.56	9	2	MATIO	2.674299509973658	3.954361611665515
129	0.7	0.58	10	2	MATIO	2.6569517342705584	4.024653753684518
130	0.7	0.6	11	2	MATIO	2.643092606426285	4.091640329921143
131	0.7	0.62	12	2	MATIO	2.6323264698153794	4.229832181228219
132	0.7	0.62	13	2	MATIO	2.6246079962944164	4.22395512397956
133	0.7	0.62	14	2	MATIO	2.619273116155365	4.220490922556549
134	0.7	0.62	15	2	MATIO	2.6155511987502225	4.21890483811402
135	0.7	0.62	16	2	MATIO	2.6141136703477073	4.218921375012724
136	0.7	0.62	17	2	MATIO	2.613164179321192	4.221199451897979
137	0.7	0.62	18	2	MATIO	2.612516496322206	4.22480329466089
138	0.7	0.62	19	2	MATIO	2.612979655432608	4.229186915866624
139	0.7	0.62	20	2	MATIO	2.614036294463069	4.23423311860908
140	0.7	0.54	1	3	MATIO	4.333516052944023	5.720467244686411
141	0.7	0.56	2	3	MATIO	4.021564135458272	5.968172235579933
142	0.7	0.56	3	3	MATIO	3.740225657175154	5.74620897832874
143	0.7	0.6	4	3	MATIO	3.4940230142838296	5.861428558430383
144	0.7	0.6	5	3	MATIO	3.2731271763860037	5.674378547666481
145	0.7	0.62	6	3	MATIO	3.079064235769314	5.608102243401871
146	0.7	0.62	7	3	MATIO	3.006208290228817	5.532148619585319
147	0.7	0.62	8	3	MATIO	2.9484306230087443	5.466822691456948
148	0.7	0.62	9	3	MATIO	2.9061321343157993	5.420091049861278
149	0.7	0.64	10	3	MATIO	2.8720638297581895	5.585248680290979
