scores	norm_scores	matrix	labels	gap	ext
36.0	0.5294117647058824	BLOSUM62.txt	0	8	3
24.0	0.6666666666666666	BLOSUM62.txt	0	8	3
29.0	0.23770491803278687	BLOSUM62.txt	0	8	3
22.0	0.2	BLOSUM62.txt	0	8	3
21.0	0.3088235294117647	BLOSUM62.txt	0	8	3
18.0	0.4864864864864865	BLOSUM62.txt	0	8	3
23.0	0.48936170212765956	BLOSUM62.txt	0	8	3
27.0	0.19708029197080293	BLOSUM62.txt	0	8	3
30.0	0.23622047244094488	BLOSUM62.txt	0	8	3
32.0	0.13559322033898305	BLOSUM62.txt	0	8	3
28.0	0.4666666666666667	BLOSUM62.txt	0	8	3
21.0	0.35	BLOSUM62.txt	0	8	3
15.0	0.5769230769230769	BLOSUM62.txt	0	8	3
28.0	0.6829268292682927	BLOSUM62.txt	0	8	3
24.0	0.2608695652173913	BLOSUM62.txt	0	8	3
349.0	2.4577464788732395	MATIO.txt	1	8	3
265.0	2.5	MATIO.txt	1	8	3
307.0	2.5371900826446283	MATIO.txt	1	8	3
177.0	2.1325301204819276	MATIO.txt	1	8	3
354.0	2.391891891891892	MATIO.txt	1	8	3
123.0	2.86046511627907	MATIO.txt	1	8	3
796.0	2.7167235494880546	MATIO.txt	1	8	3
244.0	2.515463917525773	MATIO.txt	1	8	3
227.0	2.522222222222222	MATIO.txt	1	8	3
208.0	2.2857142857142856	MATIO.txt	1	8	3
264.0	2.64	MATIO.txt	1	8	3
216.0	2.0970873786407767	MATIO.txt	1	8	3
335.0	1.850828729281768	MATIO.txt	1	8	3
340.0	2.595419847328244	MATIO.txt	1	8	3
299.0	3.0202020202020203	MATIO.txt	1	8	3
421.0	2.4057142857142857	MATIO.txt	1	8	3
364.0	2.442953020134228	MATIO.txt	1	8	3
886.0	2.8766233766233764	MATIO.txt	1	8	3
661.0	2.6546184738955825	MATIO.txt	1	8	3
818.0	2.55625	MATIO.txt	1	8	3
849.0	2.7475728155339807	MATIO.txt	1	8	3
500.0	2.0161290322580645	MATIO.txt	1	8	3
448.0	2.2857142857142856	MATIO.txt	1	8	3
440.0	2.4444444444444446	MATIO.txt	1	8	3
174.0	2.230769230769231	MATIO.txt	1	8	3
385.0	2.4367088607594938	MATIO.txt	1	8	3
712.0	2.238993710691824	MATIO.txt	1	8	3
490.0	2.355769230769231	MATIO.txt	1	8	3
366.0	2.524137931034483	MATIO.txt	1	8	3
325.0	2.5	MATIO.txt	1	8	3
380.0	2.533333333333333	MATIO.txt	1	8	3
403.0	2.1550802139037435	MATIO.txt	1	8	3
297.0	2.2846153846153845	MATIO.txt	1	8	3
482.0	2.446700507614213	MATIO.txt	1	8	3
536.0	2.2711864406779663	MATIO.txt	1	8	3
261.0	2.2695652173913046	MATIO.txt	1	8	3
601.0	2.4937759336099585	MATIO.txt	1	8	3
364.0	2.233128834355828	MATIO.txt	1	8	3
372.0	2.1627906976744184	MATIO.txt	1	8	3
293.0	2.4214876033057853	MATIO.txt	1	8	3
340.0	2.6984126984126986	MATIO.txt	1	8	3
241.0	2.0598290598290596	MATIO.txt	1	8	3
242.0	1.9206349206349207	MATIO.txt	1	8	3
385.0	2.0588235294117645	MATIO.txt	1	8	3
293.0	2.2890625	MATIO.txt	1	8	3
286.0	2.2170542635658914	MATIO.txt	1	8	3
723.0	2.32475884244373	MATIO.txt	1	8	3
394.0	2.5256410256410255	MATIO.txt	1	8	3
104.0	2.4761904761904763	MATIO.txt	1	8	3
98.0	2.227272727272727	MATIO.txt	1	8	3
229.0	2.6627906976744184	MATIO.txt	0	8	3
220.0	2.75	MATIO.txt	0	8	3
130.0	2.549019607843137	MATIO.txt	0	8	3
400.0	2.6490066225165565	MATIO.txt	0	8	3
128.0	1.9692307692307693	MATIO.txt	0	8	3
230.0	2.3469387755102042	MATIO.txt	0	8	3
390.0	2.6	MATIO.txt	0	8	3
105.0	3.3870967741935485	MATIO.txt	0	8	3
202.0	2.5569620253164556	MATIO.txt	0	8	3
96.0	2.4	MATIO.txt	0	8	3
419.0	2.7933333333333334	MATIO.txt	0	8	3
114.0	2.425531914893617	MATIO.txt	0	8	3
232.0	2.36734693877551	MATIO.txt	0	8	3
414.0	2.4939759036144578	MATIO.txt	0	8	3
282.0	2.792079207920792	MATIO.txt	0	8	3
317.0	2.6198347107438016	MATIO.txt	0	8	3
256.0	2.585858585858586	MATIO.txt	0	8	3
157.0	3.0784313725490198	MATIO.txt	0	8	3
82.0	4.1	MATIO.txt	0	8	3
516.0	2.7157894736842105	MATIO.txt	0	8	3
542.0	2.230452674897119	MATIO.txt	0	8	3
193.0	2.608108108108108	MATIO.txt	0	8	3
232.0	2.577777777777778	MATIO.txt	0	8	3
382.0	2.182857142857143	MATIO.txt	0	8	3
472.0	2.1357466063348416	MATIO.txt	0	8	3
212.0	2.6835443037974684	MATIO.txt	0	8	3
359.0	2.3161290322580643	MATIO.txt	0	8	3
362.0	2.763358778625954	MATIO.txt	0	8	3
558.0	2.4690265486725664	MATIO.txt	0	8	3
223.0	2.5632183908045976	MATIO.txt	0	8	3
594.0	2.485355648535565	MATIO.txt	0	8	3
346.0	2.232258064516129	MATIO.txt	0	8	3
322.0	2.515625	MATIO.txt	0	8	3
253.0	2.5555555555555554	MATIO.txt	0	8	3
173.0	2.3698630136986303	MATIO.txt	0	8	3
204.0	3.0	MATIO.txt	0	8	3
92.0	2.5555555555555554	MATIO.txt	0	8	3
241.0	1.9754098360655739	MATIO.txt	0	8	3
234.0	2.1272727272727274	MATIO.txt	0	8	3
169.0	2.485294117647059	MATIO.txt	0	8	3
100.0	2.7027027027027026	MATIO.txt	0	8	3
135.0	2.872340425531915	MATIO.txt	0	8	3
361.0	2.6350364963503647	MATIO.txt	0	8	3
316.0	2.4881889763779528	MATIO.txt	0	8	3
577.0	2.444915254237288	MATIO.txt	0	8	3
121.0	2.0166666666666666	MATIO.txt	0	8	3
